Gene.stable.ID	Chromosome.scaffold.name	Karyotype.band	HGNC.symbol	chr.arm
ENSG00000123091	1	p32.3	RNF11	1p
ENSG00000162384	1	p32.3	C1orf123	1p
ENSG00000117859	1	p32.3	OSBPL9	1p
ENSG00000123080	1	p32.3	CDKN2C	1p
ENSG00000116212	1	p32.3	LRRC42	1p
ENSG00000169213	1	p32.3	RAB3B	1p
ENSG00000157216	1	p32.3	SSBP3	1p
ENSG00000085832	1	p32.3	EPS15	1p
ENSG00000058799	1	p32.3	YIPF1	1p
ENSG00000162378	1	p32.3	ZYG11B	1p
ENSG00000173660	1	p33	UQCRH	1p
ENSG00000162368	1	p33	CMPK1	1p
ENSG00000123472	1	p33	ATPAF1	1p
ENSG00000079277	1	p33	MKNK1	1p
ENSG00000162366	1	p33	PDZK1IP1	1p
ENSG00000132128	1	p33	LRRC41	1p
ENSG00000123473	1	p33	STIL	1p
ENSG00000142937	1	p34.1	RPS8	1p
ENSG00000117450	1	p34.1	PRDX1	1p
ENSG00000117410	1	p34.1	ATP6V0B	1p
ENSG00000132780	1	p34.1	NASP	1p
ENSG00000117419	1	p34.1	ERI3	1p
ENSG00000117448	1	p34.1	AKR1A1	1p
ENSG00000126088	1	p34.1	UROD	1p
ENSG00000187147	1	p34.1	RNF220	1p
ENSG00000117472	1	p34.1	TSPAN1	1p
ENSG00000085998	1	p34.1	POMGNT1	1p
ENSG00000117411	1	p34.1	B4GALT2	1p
ENSG00000132768	1	p34.1	DPH2	1p
ENSG00000142945	1	p34.1	KIF2C	1p
ENSG00000070785	1	p34.1	EIF2B3	1p
ENSG00000159592	1	p34.1	GPBP1L1	1p
ENSG00000178028	1	p34.1	DMAP1	1p
ENSG00000159596	1	p34.1	TMEM69	1p
ENSG00000173846	1	p34.1	PLK3	1p
ENSG00000132773	1	p34.1	TOE1	1p
ENSG00000086015	1	p34.1	MAST2	1p
ENSG00000117461	1	p34.1	PIK3R3	1p
ENSG00000065978	1	p34.2	YBX1	1p
ENSG00000117395	1	p34.2	EBNA1BP2	1p
ENSG00000131236	1	p34.2	CAP1	1p
ENSG00000117399	1	p34.2	CDC20	1p
ENSG00000066322	1	p34.2	ELOVL1	1p
ENSG00000142949	1	p34.2	PTPRF	1p
ENSG00000171960	1	p34.2	PPIH	1p
ENSG00000179862	1	p34.2	CITED4	1p
ENSG00000117394	1	p34.2	SLC2A1	1p
ENSG00000127125	1	p34.2	PPCS	1p
ENSG00000131238	1	p34.2	PPT1	1p
ENSG00000159479	1	p34.2	MED8	1p
ENSG00000084072	1	p34.2	PPIE	1p
ENSG00000178922	1	p34.2	HYI	1p
ENSG00000171793	1	p34.2	CTPS1	1p
ENSG00000066136	1	p34.2	NFYC	1p
ENSG00000084070	1	p34.2	SMAP2	1p
ENSG00000084073	1	p34.2	ZMPSTE24	1p
ENSG00000164008	1	p34.2	C1orf50	1p
ENSG00000198815	1	p34.2	FOXJ3	1p
ENSG00000127124	1	p34.2	HIVEP3	1p
ENSG00000043514	1	p34.2	TRIT1	1p
ENSG00000117000	1	p34.2	RLF	1p
ENSG00000168653	1	p34.3	NDUFS5	1p
ENSG00000116898	1	p34.3	MRPS15	1p
ENSG00000126067	1	p34.3	PSMB2	1p
ENSG00000197982	1	p34.3	C1orf122	1p
ENSG00000116560	1	p34.3	SFPQ	1p
ENSG00000054116	1	p34.3	TRAPPC3	1p
ENSG00000181817	1	p34.3	LSM10	1p
ENSG00000092853	1	p34.3	CLSPN	1p
ENSG00000054118	1	p34.3	THRAP3	1p
ENSG00000090621	1	p34.3	PABPC4	1p
ENSG00000116871	1	p34.3	MAP7D1	1p
ENSG00000174574	1	p34.3	AKIRIN1	1p
ENSG00000163875	1	p34.3	MEAF6	1p
ENSG00000127603	1	p34.3	MACF1	1p
ENSG00000196449	1	p34.3	YRDC	1p
ENSG00000183431	1	p34.3	SF3A3	1p
ENSG00000134697	1	p34.3	GNL2	1p
ENSG00000134690	1	p34.3	CDCA8	1p
ENSG00000116954	1	p34.3	RRAGC	1p
ENSG00000116863	1	p34.3	ADPRHL2	1p
ENSG00000214114	1	p34.3	MYCBP	1p
ENSG00000146463	1	p34.3	ZMYM4	1p
ENSG00000188910	1	p34.3	GJB3	1p
ENSG00000196182	1	p34.3	STK40	1p
ENSG00000183386	1	p34.3	FHL3	1p
ENSG00000116922	1	p34.3	C1orf109	1p
ENSG00000142687	1	p34.3	KIAA0319L	1p
ENSG00000188786	1	p34.3	MTF1	1p
ENSG00000185090	1	p34.3	MANEAL	1p
ENSG00000163874	1	p34.3	ZC3H12A	1p
ENSG00000175130	1	p35.1	MARCKSL1	1p
ENSG00000121900	1	p35.1	TMEM54	1p
ENSG00000004455	1	p35.1	AK2	1p
ENSG00000176261	1	p35.1	ZBTB8OS	1p
ENSG00000162521	1	p35.1	RBBP4	1p
ENSG00000134684	1	p35.1	YARS	1p
ENSG00000134686	1	p35.1	PHC2	1p
ENSG00000160058	1	p35.1	BSDC1	1p
ENSG00000162522	1	p35.1	KIAA1522	1p
ENSG00000162520	1	p35.1	SYNC	1p
ENSG00000116497	1	p35.1	S100PBP	1p
ENSG00000184007	1	p35.2	PTP4A2	1p
ENSG00000084623	1	p35.2	EIF3I	1p
ENSG00000121774	1	p35.2	KHDRBS1	1p
ENSG00000168528	1	p35.2	SERINC2	1p
ENSG00000121766	1	p35.2	ZCCHC17	1p
ENSG00000142910	1	p35.2	TINAGL1	1p
ENSG00000116478	1	p35.2	HDAC1	1p
ENSG00000025800	1	p35.2	KPNA6	1p
ENSG00000162517	1	p35.2	PEF1	1p
ENSG00000060688	1	p35.2	SNRNP40	1p
ENSG00000084652	1	p35.2	TXLNA	1p
ENSG00000134644	1	p35.2	PUM1	1p
ENSG00000121775	1	p35.2	TMEM39B	1p
ENSG00000160050	1	p35.2	CCDC28B	1p
ENSG00000134668	1	p35.2	SPOCD1	1p
ENSG00000160055	1	p35.2	TMEM234	1p
ENSG00000126698	1	p35.3	DNAJC8	1p
ENSG00000116350	1	p35.3	SRSF4	1p
ENSG00000198492	1	p35.3	YTHDF2	1p
ENSG00000126709	1	p35.3	IFI6	1p
ENSG00000120656	1	p35.3	TAF12	1p
ENSG00000180198	1	p35.3	RCC1	1p
ENSG00000117748	1	p35.3	RPA2	1p
ENSG00000204138	1	p35.3	PHACTR4	1p
ENSG00000117751	1	p35.3	PPP1R8	1p
ENSG00000116353	1	p35.3	MECR	1p
ENSG00000180098	1	p35.3	TRNAU1AP	1p
ENSG00000197989	1	p35.3	SNHG12	1p
ENSG00000117758	1	p35.3	STX12	1p
ENSG00000159023	1	p35.3	EPB41	1p
ENSG00000158161	1	p35.3	EYA3	1p
ENSG00000162419	1	p35.3	GMEB1	1p
ENSG00000142676	1	p36.11	RPL11	1p
ENSG00000198830	1	p36.11	HMGN2	1p
ENSG00000142669	1	p36.11	SH3BGRL3	1p
ENSG00000117632	1	p36.11	STMN1	1p
ENSG00000090273	1	p36.11	NUDC	1p
ENSG00000133226	1	p36.11	SRRM1	1p
ENSG00000142684	1	p36.11	ZNF593	1p
ENSG00000175793	1	p36.11	SFN	1p
ENSG00000158195	1	p36.11	WASF2	1p
ENSG00000183726	1	p36.11	TMEM50A	1p
ENSG00000117614	1	p36.11	SYF2	1p
ENSG00000057757	1	p36.11	PITHD1	1p
ENSG00000117308	1	p36.11	GALE	1p
ENSG00000011009	1	p36.11	LYPLA2	1p
ENSG00000117713	1	p36.11	ARID1A	1p
ENSG00000169504	1	p36.11	CLIC4	1p
ENSG00000188529	1	p36.11	SRSF10	1p
ENSG00000186501	1	p36.11	TMEM222	1p
ENSG00000142751	1	p36.11	GPN2	1p
ENSG00000117602	1	p36.11	RCAN3	1p
ENSG00000001461	1	p36.11	NIPAL3	1p
ENSG00000253368	1	p36.11	TRNP1	1p
ENSG00000117682	1	p36.11	DHDDS	1p
ENSG00000117676	1	p36.11	RPS6KA1	1p
ENSG00000157978	1	p36.11	LDLRAP1	1p
ENSG00000158062	1	p36.11	UBXN11	1p
ENSG00000090020	1	p36.11	SLC9A1	1p
ENSG00000117318	1	p36.12	ID3	1p
ENSG00000070831	1	p36.12	CDC42	1p
ENSG00000125944	1	p36.12	HNRNPR	1p
ENSG00000127483	1	p36.12	HP1BP3	1p
ENSG00000169641	1	p36.12	LUZP1	1p
ENSG00000162545	1	p36.12	CAMK2N1	1p
ENSG00000244038	1	p36.12	DDOST	1p
ENSG00000004487	1	p36.12	KDM1A	1p
ENSG00000090686	1	p36.12	USP48	1p
ENSG00000158825	1	p36.12	CDA	1p
ENSG00000158828	1	p36.12	PINK1	1p
ENSG00000117298	1	p36.12	ECE1	1p
ENSG00000075151	1	p36.12	EIF4G3	1p
ENSG00000133216	1	p36.12	EPHB2	1p
ENSG00000142798	1	p36.12	HSPG2	1p
ENSG00000090432	1	p36.12	MUL1	1p
ENSG00000173436	1	p36.13	MINOS1	1p
ENSG00000077549	1	p36.13	CAPZB	1p
ENSG00000117118	1	p36.13	SDHB	1p
ENSG00000055070	1	p36.13	SZRD1	1p
ENSG00000158747	1	p36.13	NBL1	1p
ENSG00000053372	1	p36.13	MRTO4	1p
ENSG00000053371	1	p36.13	AKR7A2	1p
ENSG00000179051	1	p36.13	RCC2	1p
ENSG00000127481	1	p36.13	UBR4	1p
ENSG00000142627	1	p36.13	EPHA2	1p
ENSG00000157191	1	p36.13	NECAP2	1p
ENSG00000219481	1	p36.13	NBPF1	1p
ENSG00000159363	1	p36.13	ATP13A2	1p
ENSG00000117122	1	p36.13	MFAP2	1p
ENSG00000127463	1	p36.13	EMC1	1p
ENSG00000040487	1	p36.13	PQLC2	1p
ENSG00000142634	1	p36.21	EFHD2	1p
ENSG00000162496	1	p36.21	DHRS3	1p
ENSG00000065526	1	p36.21	SPEN	1p
ENSG00000162458	1	p36.21	FBLIM1	1p
ENSG00000171729	1	p36.21	TMEM51	1p
ENSG00000116731	1	p36.21	PRDM2	1p
ENSG00000116786	1	p36.21	PLEKHM2	1p
ENSG00000189337	1	p36.21	KAZN	1p
ENSG00000162493	1	p36.21	PDPN	1p
ENSG00000197312	1	p36.21	DDI2	1p
ENSG00000116649	1	p36.22	SRM	1p
ENSG00000116670	1	p36.22	MAD2L2	1p
ENSG00000160049	1	p36.22	DFFA	1p
ENSG00000177674	1	p36.22	AGTRAP	1p
ENSG00000178585	1	p36.22	CTNNBIP1	1p
ENSG00000120948	1	p36.22	TARDBP	1p
ENSG00000171612	1	p36.22	SLC25A33	1p
ENSG00000116685	1	p36.22	KIAA2013	1p
ENSG00000171603	1	p36.22	CLSTN1	1p
ENSG00000162441	1	p36.22	LZIC	1p
ENSG00000142657	1	p36.22	PGD	1p
ENSG00000083444	1	p36.22	PLOD1	1p
ENSG00000116691	1	p36.22	MIIP	1p
ENSG00000054523	1	p36.22	KIF1B	1p
ENSG00000171824	1	p36.22	EXOSC10	1p
ENSG00000120937	1	p36.22	NPPB	1p
ENSG00000116688	1	p36.22	MFN2	1p
ENSG00000198793	1	p36.22	MTOR	1p
ENSG00000120942	1	p36.22	UBIAD1	1p
ENSG00000116661	1	p36.22	FBXO2	1p
ENSG00000171621	1	p36.22	SPSB1	1p
ENSG00000130939	1	p36.22	UBE4B	1p
ENSG00000162444	1	p36.22	RBP7	1p
ENSG00000142655	1	p36.22	PEX14	1p
ENSG00000074800	1	p36.23	ENO1	1p
ENSG00000116288	1	p36.23	PARK7	1p
ENSG00000049245	1	p36.23	VAMP3	1p
ENSG00000116285	1	p36.23	ERRFI1	1p
ENSG00000142599	1	p36.23	RERE	1p
ENSG00000116251	1	p36.31	RPL22	1p
ENSG00000171735	1	p36.31	CAMTA1	1p
ENSG00000097021	1	p36.31	ACOT7	1p
ENSG00000116237	1	p36.31	ICMT	1p
ENSG00000162408	1	p36.31	NOL9	1p
ENSG00000041988	1	p36.31	THAP3	1p
ENSG00000007923	1	p36.31	DNAJC11	1p
ENSG00000158286	1	p36.31	RNF207	1p
ENSG00000157916	1	p36.32	RER1	1p
ENSG00000198912	1	p36.32	C1orf174	1p
ENSG00000157911	1	p36.32	PEX10	1p
ENSG00000130764	1	p36.32	LRRC47	1p
ENSG00000116198	1	p36.32	CEP104	1p
ENSG00000116213	1	p36.32	WRAP73	1p
ENSG00000158109	1	p36.32	TPRG1L	1p
ENSG00000175756	1	p36.33	AURKAIP1	1p
ENSG00000242485	1	p36.33	MRPL20	1p
ENSG00000187608	1	p36.33	ISG15	1p
ENSG00000160075	1	p36.33	SSU72	1p
ENSG00000188290	1	p36.33	HES4	1p
ENSG00000078369	1	p36.33	GNB1	1p
ENSG00000078808	1	p36.33	SDF4	1p
ENSG00000160087	1	p36.33	UBE2J2	1p
ENSG00000188976	1	p36.33	NOC2L	1p
ENSG00000197785	1	p36.33	ATAD3A	1p
ENSG00000160072	1	p36.33	ATAD3B	1p
ENSG00000169972	1	p36.33	PUSL1	1p
ENSG00000188157	1	p36.33	AGRN	1p
ENSG00000008130	1	p36.33	NADK	1p
ENSG00000176022	1	p36.33	B3GALT6	1p
ENSG00000197530	1	p36.33	MIB2	1p
ENSG00000221978	1	p36.33	CCNL2	1p
ENSG00000008128	1	p36.33	CDK11A	1p
ENSG00000107404	1	p36.33	DVL1	1p
ENSG00000179403	1	p36.33	VWA1	1p
ENSG00000248333	1	p36.33	CDK11B	1p
ENSG00000131584	1	p36.33	ACAP3	1p
ENSG00000157933	1	p36.33	SKI	1p
ENSG00000067606	1	p36.33	PRKCZ	1p
ENSG00000187634	1	p36.33	SAMD11	1p
ENSG00000265241	1	q21.1	RBM8A	1q
ENSG00000265491	1	q21.1	RNF115	1q
ENSG00000121851	1	q21.1	POLR3GL	1q
ENSG00000265972	1	q21.1	TXNIP	1q
ENSG00000131778	1	q21.1	CHD1L	1q
ENSG00000271425	1	q21.1	NBPF10	1q
ENSG00000271601	1	q21.1	LIX1L	1q
ENSG00000131788	1	q21.1	PIAS3	1q
ENSG00000131791	1	q21.1	PRKAB2	1q
ENSG00000131779	1	q21.1	PEX11B	1q
ENSG00000186141	1	q21.1	POLR3C	1q
ENSG00000117262	1	q21.1	GPR89A	1q
ENSG00000266472	1	q21.2	MRPS21	1q
ENSG00000117362	1	q21.2	APH1A	1q
ENSG00000143401	1	q21.2	ANP32E	1q
ENSG00000143384	1	q21.2	MCL1	1q
ENSG00000184260	1	q21.2	HIST2H2AC	1q
ENSG00000143368	1	q21.2	SF3B4	1q
ENSG00000023902	1	q21.2	PLEKHO1	1q
ENSG00000178096	1	q21.2	BOLA1	1q
ENSG00000178104	1	q21.2	PDE4DIP	1q
ENSG00000163125	1	q21.2	RPRD2	1q
ENSG00000264522	1	q21.2	OTUD7B	1q
ENSG00000162836	1	q21.2	ACP6	1q
ENSG00000117360	1	q21.2	PRPF3	1q
ENSG00000177954	1	q21.3	RPS27	1q
ENSG00000197956	1	q21.3	S100A6	1q
ENSG00000163191	1	q21.3	S100A11	1q
ENSG00000197747	1	q21.3	S100A10	1q
ENSG00000196754	1	q21.3	S100A2	1q
ENSG00000188643	1	q21.3	S100A16	1q
ENSG00000143543	1	q21.3	JTB	1q
ENSG00000173207	1	q21.3	CKS1B	1q
ENSG00000143549	1	q21.3	TPM3	1q
ENSG00000189171	1	q21.3	S100A13	1q
ENSG00000163220	1	q21.3	S100A9	1q
ENSG00000143612	1	q21.3	C1orf43	1q
ENSG00000196154	1	q21.3	S100A4	1q
ENSG00000143545	1	q21.3	RAB13	1q
ENSG00000189334	1	q21.3	S100A14	1q
ENSG00000143420	1	q21.3	ENSA	1q
ENSG00000143575	1	q21.3	HAX1	1q
ENSG00000159352	1	q21.3	PSMD4	1q
ENSG00000143621	1	q21.3	ILF2	1q
ENSG00000159377	1	q21.3	PSMB4	1q
ENSG00000143436	1	q21.3	MRPL9	1q
ENSG00000143570	1	q21.3	SLC39A1	1q
ENSG00000163344	1	q21.3	PMVK	1q
ENSG00000160691	1	q21.3	SHC1	1q
ENSG00000160679	1	q21.3	CHTOP	1q
ENSG00000160714	1	q21.3	UBE2Q1	1q
ENSG00000160678	1	q21.3	S100A1	1q
ENSG00000160710	1	q21.3	ADAR	1q
ENSG00000143553	1	q21.3	SNAPIN	1q
ENSG00000197622	1	q21.3	CDC42SE1	1q
ENSG00000143546	1	q21.3	S100A8	1q
ENSG00000143537	1	q21.3	ADAM15	1q
ENSG00000213190	1	q21.3	MLLT11	1q
ENSG00000143418	1	q21.3	CERS2	1q
ENSG00000160688	1	q21.3	FLAD1	1q
ENSG00000143569	1	q21.3	UBAP2L	1q
ENSG00000163156	1	q21.3	SCNM1	1q
ENSG00000143443	1	q21.3	C1orf56	1q
ENSG00000159445	1	q21.3	THEM4	1q
ENSG00000143631	1	q21.3	FLG	1q
ENSG00000163159	1	q21.3	VPS72	1q
ENSG00000143376	1	q21.3	SNX27	1q
ENSG00000143442	1	q21.3	POGZ	1q
ENSG00000143398	1	q21.3	PIP5K1A	1q
ENSG00000143393	1	q21.3	PI4KB	1q
ENSG00000169469	1	q21.3	SPRR1B	1q
ENSG00000243364	1	q21.3	EFNA4	1q
ENSG00000143614	1	q21.3	GATAD2B	1q
ENSG00000143624	1	q21.3	INTS3	1q
ENSG00000188015	1	q21.3	S100A3	1q
ENSG00000143367	1	q21.3	TUFT1	1q
ENSG00000143556	1	q21.3	S100A7	1q
ENSG00000160789	1	q22	LMNA	1q
ENSG00000163468	1	q22	CCT3	1q
ENSG00000163479	1	q22	SSR2	1q
ENSG00000116586	1	q22	LAMTOR2	1q
ENSG00000160752	1	q22	FDPS	1q
ENSG00000132676	1	q22	DAP3	1q
ENSG00000163463	1	q22	KRTCAP2	1q
ENSG00000132698	1	q22	RAB25	1q
ENSG00000173171	1	q22	MTX1	1q
ENSG00000179085	1	q22	DPM3	1q
ENSG00000160783	1	q22	PMF1	1q
ENSG00000116539	1	q22	ASH1L	1q
ENSG00000160753	1	q22	RUSC1	1q
ENSG00000116521	1	q22	SCAMP3	1q
ENSG00000169241	1	q22	SLC50A1	1q
ENSG00000116580	1	q22	GON4L	1q
ENSG00000160767	1	q22	FAM189B	1q
ENSG00000169242	1	q22	EFNA1	1q
ENSG00000163374	1	q22	YY1AP1	1q
ENSG00000177628	1	q22	GBA	1q
ENSG00000160803	1	q22	UBQLN4	1q
ENSG00000185499	1	q22	MUC1	1q
ENSG00000116584	1	q22	ARHGEF2	1q
ENSG00000125459	1	q22	MSTO1	1q
ENSG00000198952	1	q22	SMG5	1q
ENSG00000143622	1	q22	RIT1	1q
ENSG00000254726	1	q22	MEX3A	1q
ENSG00000160785	1	q22	SLC25A44	1q
ENSG00000143321	1	q23.1	HDGF	1q
ENSG00000160818	1	q23.1	GPATCH4	1q
ENSG00000143314	1	q23.1	MRPL24	1q
ENSG00000143320	1	q23.1	CRABP2	1q
ENSG00000143294	1	q23.1	PRCC	1q
ENSG00000143319	1	q23.1	ISG20L2	1q
ENSG00000163565	1	q23.1	IFI16	1q
ENSG00000132688	1	q23.1	NES	1q
ENSG00000158710	1	q23.2	TAGLN2	1q
ENSG00000158716	1	q23.2	DUSP23	1q
ENSG00000162734	1	q23.2	PEA15	1q
ENSG00000122218	1	q23.2	COPA	1q
ENSG00000162736	1	q23.2	NCSTN	1q
ENSG00000162735	1	q23.2	PEX19	1q
ENSG00000132716	1	q23.2	DCAF8	1q
ENSG00000162729	1	q23.2	IGSF8	1q
ENSG00000143315	1	q23.2	PIGM	1q
ENSG00000143256	1	q23.3	PFDN2	1q
ENSG00000143222	1	q23.3	UFC1	1q
ENSG00000143252	1	q23.3	SDHC	1q
ENSG00000215845	1	q23.3	TSTD1	1q
ENSG00000117143	1	q23.3	UAP1	1q
ENSG00000158864	1	q23.3	NDUFS2	1q
ENSG00000152332	1	q23.3	UHMK1	1q
ENSG00000158850	1	q23.3	B4GALT3	1q
ENSG00000143228	1	q23.3	NUF2	1q
ENSG00000081721	1	q23.3	DUSP12	1q
ENSG00000185630	1	q23.3	PBX1	1q
ENSG00000118217	1	q23.3	ATF6	1q
ENSG00000158769	1	q23.3	F11R	1q
ENSG00000158796	1	q23.3	DEDD	1q
ENSG00000158793	1	q23.3	NIT1	1q
ENSG00000143198	1	q24.1	MGST3	1q
ENSG00000143183	1	q24.1	TMCO1	1q
ENSG00000143179	1	q24.1	UCK2	1q
ENSG00000143157	1	q24.1	POGK	1q
ENSG00000143149	1	q24.1	ALDH9A1	1q
ENSG00000143158	1	q24.2	MPC2	1q
ENSG00000143153	1	q24.2	ATP1B1	1q
ENSG00000143155	1	q24.2	TIPRL	1q
ENSG00000197965	1	q24.2	MPZL1	1q
ENSG00000213064	1	q24.2	SFT2D2	1q
ENSG00000143164	1	q24.2	DCAF6	1q
ENSG00000143162	1	q24.2	CREG1	1q
ENSG00000143156	1	q24.2	NME7	1q
ENSG00000143190	1	q24.2	POU2F1	1q
ENSG00000075945	1	q24.2	KIFAP3	1q
ENSG00000116132	1	q24.2	PRRX1	1q
ENSG00000117523	1	q24.3	PRRC2C	1q
ENSG00000135845	1	q24.3	PIGC	1q
ENSG00000094975	1	q24.3	SUCO	1q
ENSG00000117533	1	q24.3	VAMP4	1q
ENSG00000117592	1	q25.1	PRDX6	1q
