"","Gene.stable.ID","Chromosome.scaffold.name","Karyotype.band","HGNC.symbol","chr.arm"
"389","ENSG00000170471",20,"q11.23","RALGAPB","20q"
"394","ENSG00000155463",14,"q11.2","OXA1L","14q"
"398","ENSG00000171320",8,"p21.1","ESCO2","8p"
"400","ENSG00000197182",22,"q13.31","MIRLET7BHG","22q"
"401","ENSG00000107937",10,"p15.3","GTPBP4","10p"
"418","ENSG00000160683",11,"q23.3","CXCR5","11q"
"419","ENSG00000180304",15,"q22.31","OAZ2","15q"
"421","ENSG00000109062",17,"q25.1","SLC9A3R1","17q"
"430","ENSG00000102287",23,"q28","GABRE","23q"
"432","ENSG00000177337",18,"p11.31","DLGAP1-AS1","18p"
"436","ENSG00000149262",11,"q14.1","INTS4","11q"
"438","ENSG00000108786",17,"q21.2","HSD17B1","17q"
"440","ENSG00000198730",11,"p15.4","CTR9","11p"
"447","ENSG00000177105",11,"p15.4","RHOG","11p"
"448","ENSG00000104880",19,"p13.2","ARHGEF18","19p"
"451","ENSG00000236051",13,"q22.3","MYCBP2-AS1","13q"
"455","ENSG00000182836",5,"p13.1","PLCXD3","5p"
"456","ENSG00000118900",16,"p13.3","UBN1","16p"
"459","ENSG00000005812",13,"q22.3","FBXL3","13q"
"461","ENSG00000180176",11,"p15.5","TH","11p"
"465","ENSG00000114209",3,"q26.1","PDCD10","3q"
"468","ENSG00000261520",18,"p11.31","DLGAP1-AS5","18p"
"479","ENSG00000169398",8,"q24.3","PTK2","8q"
"481","ENSG00000170579",18,"p11.31","DLGAP1","18p"
"483","ENSG00000172794",17,"q25.1","RAB37","17q"
"491","ENSG00000250312",4,"p16.3","ZNF718","4p"
"492","ENSG00000223685",13,"q13.3","LINC00571","13q"
"493","ENSG00000090581",16,"p13.3","GNPTG","16p"
"495","ENSG00000005810",13,"q22.3","MYCBP2","13q"
"496","ENSG00000246662",8,"q22.1","LINC00535","8q"
"497","ENSG00000068120",17,"q21.2","COASY","17q"
"499","ENSG00000279331",8,"q22.1","RBM12B-AS1","8q"
"503","ENSG00000204899",13,"q21.33","MZT1","13q"
"508","ENSG00000168904",15,"q26.3","LRRC28","15q"
"509","ENSG00000116017",19,"p13.3","ARID3A","19p"
"510","ENSG00000136866",9,"q32","ZFP37","9q"
"515","ENSG00000002822",7,"p22.3","MAD1L1","7p"
"516","ENSG00000154438",7,"q31.2","ASZ1","7q"
"518","ENSG00000083520",13,"q21.33","DIS3","13q"
"521","ENSG00000228623",9,"q32","ZNF883","9q"
"522","ENSG00000147419",8,"p21.1","CCDC25","8p"
"524","ENSG00000188933",17,"p11.2","USP32P1","17p"
"526","ENSG00000187017",1,"p36.31","ESPN","1p"
"528","ENSG00000110321",11,"p15.4","EIF4G2","11p"
"530","ENSG00000105939",7,"q34","ZC3HAV1","7q"
"532","ENSG00000232656",10,"p15.3","IDI2-AS1","10p"
"542","ENSG00000169410",15,"q24.2","PTPN9","15q"
"549","ENSG00000164037",4,"q24","SLC9B1","4q"
"554","ENSG00000134765",18,"q12.1","DSC1","18q"
"555","ENSG00000197746",10,"q22.1","PSAP","10q"
"562","ENSG00000128262",22,"q11.23","POM121L9P","22q"
"564","ENSG00000145526",5,"p14.3","CDH18","5p"
"565","ENSG00000183439",4,"q32.3","TRIM61","4q"
"567","ENSG00000250486",4,"q32.3","FAM218A","4q"
"571","ENSG00000223843",22,"q13.2","EFCAB6-AS1","22q"
"573","ENSG00000205899",17,"p13.3","BHLHA9","17p"
"579","ENSG00000186976",22,"q13.31","EFCAB6","22q"
"580","ENSG00000253203",5,"q13.2","GUSBP3","5q"
"584","ENSG00000225648",7,"q11.23","SBDSP1","7q"
"585","ENSG00000004939",17,"q21.31","SLC4A1","17q"
"599","ENSG00000007520",16,"p13.3","TSR3","16p"
"602","ENSG00000140279",15,"q21.1","DUOX2","15q"
"603","ENSG00000179994",7,"q11.23","SPDYE7P","7q"
"607","ENSG00000127533",19,"p13.11","F2RL3","19p"
"611","ENSG00000248099",19,"p13.11","INSL3","19p"
"615","ENSG00000144028",2,"q11.2","SNRNP200","2q"
"617","ENSG00000008988",8,"q12.1","RPS20","8q"
"618","ENSG00000160209",21,"q22.3","PDXK","21q"
"622","ENSG00000221937",7,"q34","TAS2R40","7q"
"623","ENSG00000163499",2,"q35","CRYBA2","2q"
"624","ENSG00000119013",2,"q33.1","NDUFB3","2q"
"625","ENSG00000142632",1,"p36.13","ARHGEF19","1p"
"628","ENSG00000169371",15,"q24.2","SNUPN","15q"
"629","ENSG00000007516",16,"p13.3","BAIAP3","16p"
"631","ENSG00000140632",16,"p13.3","GLYR1","16p"
"632","ENSG00000171680",1,"p36.31","PLEKHG5","1p"
"636","ENSG00000173464",14,"q11.2","RNASE11","14q"
"641","ENSG00000115942",2,"q33.1","ORC2","2q"
"643","ENSG00000083544",13,"q21.2","TDRD3","13q"
"664","ENSG00000109680",4,"p15.2","TBC1D19","4p"
"667","ENSG00000109193",4,"q13.3","SULT1E1","4q"
"670","ENSG00000137857",15,"q21.1","DUOX1","15q"
"672","ENSG00000065057",16,"p13.3","NTHL1","16p"
"675","ENSG00000258436",14,"q11.2","RNASE12","14q"
"685","ENSG00000011451",19,"p13.12","WIZ","19p"
"686","ENSG00000132017",19,"p13.12","DCAF15","19p"
"688","ENSG00000155659",23,"q12","VSIG4","23q"
"689","ENSG00000153406",16,"p13.3","NMRAL1","16p"
"690","ENSG00000177354",10,"q11.23","C10orf71","10q"
"695","ENSG00000132000",19,"p13.12","PODNL1","19p"
"699","ENSG00000165606",10,"q11.23","DRGX","10q"
"701","ENSG00000083535",13,"q21.33","PIBF1","13q"
"707","ENSG00000102057",23,"p11.23","KCND1","23p"
"708","ENSG00000184481",23,"q13.1","FOXO4","23q"
"728","ENSG00000127952",7,"q11.23","STYXL1","7q"
"730","ENSG00000114520",3,"q21.2","SNX4","3q"
"736","ENSG00000168488",16,"p11.2","ATXN2L","16p"
"738","ENSG00000183808",8,"q22.1","RBM12B","8q"
"739","ENSG00000049323",2,"p22.3","LTBP1","2p"
"745","ENSG00000008710",16,"p13.3","PKD1","16p"
"746","ENSG00000145354",4,"q24","CISD2","4q"
"747","ENSG00000101220",20,"p13","C20orf27","20p"
"749","ENSG00000155744",2,"q33.1","FAM126B","2q"
"750","ENSG00000147168",23,"q13.1","IL2RG","23q"
"751","ENSG00000168078",8,"p21.1","PBK","8p"
"754","ENSG00000122585",7,"p15.3","NPY","7p"
"762","ENSG00000204442",13,"q33.3","FAM155A","13q"
"765","ENSG00000170425",17,"p12","ADORA2B","17p"
"782","ENSG00000186300",19,"p13.3","ZNF555","19p"
"784","ENSG00000221866",7,"q32.3","PLXNA4","7q"
"785","ENSG00000149925",16,"p11.2","ALDOA","16p"
"789","ENSG00000106483",7,"p14.1","SFRP4","7p"
"794","ENSG00000093217",3,"p22.2","XYLB","3p"
"797","ENSG00000175376",11,"q13.1","EIF1AD","11q"
"798","ENSG00000120686",13,"q13.3","UFM1","13q"
"799","ENSG00000021826",2,"q34","CPS1","2q"
"801","ENSG00000035141",2,"p13.3","FAM136A","2p"
"807","ENSG00000136122",13,"q21.33","BORA","13q"
"810","ENSG00000105639",19,"p13.11","JAK3","19p"
"811","ENSG00000187605",2,"p13.1","TET3","2p"
"813","ENSG00000086289",7,"p14.1","EPDR1","7p"
"816","ENSG00000204165",23,"q13.1","CXorf65","23q"
"817","ENSG00000078579",8,"p22","FGF20","8p"
"819","ENSG00000236552",10,"q24.1","RPL13AP5","10q"
"820","ENSG00000177951",11,"p15.5","BET1L","11p"
"824","ENSG00000204950",11,"q12.2","LRRC10B","11q"
"825","ENSG00000144891",3,"q24","AGTR1","3q"
"826","ENSG00000164066",4,"q28.1","INTU","4q"
"829","ENSG00000101844",23,"q22.3","ATG4A","23q"
"830","ENSG00000187037",7,"p14.1","GPR141","7p"
"831","ENSG00000164111",4,"q27","ANXA5","4q"
"832","ENSG00000086288",7,"p14.1","NME8","7p"
"833","ENSG00000066336",11,"p11.2","SPI1","11p"
"834","ENSG00000135960",2,"q13","EDAR","2q"
"835","ENSG00000186074",17,"q25.1","CD300LF","17q"
"838","ENSG00000102805",13,"q22.3","CLN5","13q"
"839","ENSG00000138660",4,"q25","AP1AR","4q"
"844","ENSG00000054523",1,"p36.22","KIF1B","1p"
"849","ENSG00000174405",13,"q33.3","LIG4","13q"
"850","ENSG00000170430",10,"q26.3","MGMT","10q"
"852","ENSG00000179950",8,"q24.3","PUF60","8q"
"853","ENSG00000113583",5,"q31.1","C5orf15","5q"
"856","ENSG00000074370",17,"p13.2","ATP2A3","17p"
"870","ENSG00000149289",11,"q22.3","ZC3H12C","11q"
"872","ENSG00000204450",11,"q14.3","TRIM64","11q"
"873","ENSG00000112053",6,"p21.31","SLC26A8","6p"
"874","ENSG00000177947",11,"p15.5","ODF3","11p"
"876","ENSG00000004142",17,"q11.2","POLDIP2","17q"
"877","ENSG00000113361",5,"p13.3","CDH6","5p"
"887","ENSG00000188981",4,"p16.3","MSANTD1","4p"
"888","ENSG00000125872",20,"p12.3","LRRN4","20p"
"889","ENSG00000166292",17,"q22","TMEM100","17q"
"893","ENSG00000243766",7,"p15.2","HOTTIP","7p"
"894","ENSG00000102119",23,"q28","EMD","23q"
"895","ENSG00000224729",7,"q22.1","PCOLCE-AS1","7q"
"898","ENSG00000106031",7,"p15.2","HOXA13","7p"
"904","ENSG00000165475",13,"q12.11","CRYL1","13q"
"907","ENSG00000166351",21,"q11.2","POTED","21q"
"909","ENSG00000137710",11,"q22.3","RDX","11q"
"911","ENSG00000106333",7,"q22.1","PCOLCE","7q"
"912","ENSG00000124198",20,"q13.13","ARFGEF2","20q"
"914","ENSG00000115594",2,"q11.2","IL1R1","2q"
"916","ENSG00000147454",8,"p21.2","SLC25A37","8p"
"918","ENSG00000109079",17,"q11.2","TNFAIP1","17q"
"919","ENSG00000175334",11,"q13.1","BANF1","11q"
"921","ENSG00000205307",7,"q22.1","SAP25","7q"
"928","ENSG00000180773",11,"q21","SLC36A4","11q"
"930","ENSG00000155330",16,"q11.2","C16orf87","16q"
"937","ENSG00000168004",11,"q12.3","HRASLS5","11q"
"950","ENSG00000150556",2,"q23.2","LYPD6B","2q"
"954","ENSG00000106336",7,"q22.1","FBXO24","7q"
"955","ENSG00000186432",3,"q25.33","KPNA4","3q"
"957","ENSG00000163421",3,"p13","PROK2","3p"
"959","ENSG00000175832",17,"q21.31","ETV4","17q"
"962","ENSG00000134121",3,"p26.3","CHL1","3p"
"964","ENSG00000123901",11,"q21","GPR83","11q"
"966","ENSG00000165799",14,"q11.2","RNASE7","14q"
"969","ENSG00000106038",7,"p15.2","EVX1","7p"
"970","ENSG00000101882",23,"q24","NKAP","23q"
"971","ENSG00000130413",11,"p15.4","STK33","11p"
"974","ENSG00000165804",14,"q11.2","ZNF219","14q"
"976","ENSG00000185433",21,"q21.2","LINC00158","21q"
"980","ENSG00000167034",8,"p21.2","NKX3-1","8p"
"982","ENSG00000196139",10,"p15.1","AKR1C3","10p"
"996","ENSG00000153707",9,"p23","PTPRD","9p"
"997","ENSG00000171119",19,"p13.3","NRTN","19p"
"998","ENSG00000104112",15,"q21.2","SCG3","15q"
"1002","ENSG00000186471",23,"q24","AKAP14","23q"
"1005","ENSG00000259863",2,"q13","SH3RF3-AS1","2q"
"1006","ENSG00000205213",11,"p14.1","LGR4","11p"
"1011","ENSG00000172985",2,"q13","SH3RF3","2q"
"1013","ENSG00000184276",11,"q13.4","DEFB108B","11q"
"1016","ENSG00000230267",16,"p11.2","HERC2P4","16p"
"1021","ENSG00000159921",9,"p13.3","GNE","9p"
"1026","ENSG00000182968",13,"q34","SOX1","13q"
"1027","ENSG00000174500",3,"q13.2","GCSAM","3q"
"1031","ENSG00000170390",4,"q31.23","DCLK2","4q"
"1040","ENSG00000140274",15,"q21.1","DUOXA2","15q"
"1049","ENSG00000144909",3,"q21.2","OSBPL11","3q"
"1052","ENSG00000196428",3,"q25.1","TSC22D2","3q"
"1053","ENSG00000141179",17,"q22","PCTP","17q"
"1054","ENSG00000154928",3,"q22.2","EPHB1","3q"
"1055","ENSG00000077454",7,"q22.1","LRCH4","7q"
"1056","ENSG00000168152",4,"q21.22","THAP9","4q"
"1060","ENSG00000138606",15,"q21.1","SHF","15q"
"1064","ENSG00000114854",3,"p21.1","TNNC1","3p"
"1067","ENSG00000229437",13,"q13.3","LINC00366","13q"
"1068","ENSG00000136828",9,"q33.3","RALGPS1","9q"
"1070","ENSG00000165195",23,"p22.2","PIGA","23p"
"1071","ENSG00000100297",22,"q12.3","MCM5","22q"
"1072","ENSG00000149273",11,"q13.4","RPS3","11q"
"1073","ENSG00000153498",13,"q34","SPACA7","13q"
"1076","ENSG00000114353",3,"p21.31","GNAI2","3p"
"1077","ENSG00000179636",14,"q11.2","TPPP2","14q"
"1081","ENSG00000251022",4,"q21.22","THAP9-AS1","4q"
"1084","ENSG00000138135",10,"q23.31","CH25H","10q"
"1086","ENSG00000114529",3,"q13.2","C3orf52","3q"
"1087","ENSG00000078043",18,"q21.1","PIAS2","18q"
"1088","ENSG00000010322",3,"p21.1","NISCH","3p"
"1090","ENSG00000101311",20,"p12.3","FERMT1","20p"
"1093","ENSG00000165915",11,"p11.2","SLC39A13","11p"
"1097","ENSG00000126368",17,"q21.1","NR1D1","17q"
"1098","ENSG00000135720",16,"q22.1","DYNC1LI2","16q"
"1101","ENSG00000144895",3,"q25.1","EIF2A","3q"
"1109","ENSG00000131748",17,"q12","STARD3","17q"
"1114","ENSG00000174611",3,"q22.2","KY","3q"
"1116","ENSG00000173431",14,"q11.2","RNASE8","14q"
"1121","ENSG00000008838",17,"q21.1","MED24","17q"
"1128","ENSG00000108953",17,"p13.3","YWHAE","17p"
"1133","ENSG00000156735",8,"p11.23","BAG4","8p"
"1134","ENSG00000280165",13,"q21.2","PCDH20","13q"
"1136","ENSG00000165795",14,"q11.2","NDRG2","14q"
"1137","ENSG00000102878",16,"q22.1","HSF4","16q"
"1142","ENSG00000204449",11,"q14.3","TRIM49C","11q"
"1143","ENSG00000176979",4,"q32.3","TRIM60","4q"
"1145","ENSG00000126890",23,"q28","CTAG2","23q"
"1146","ENSG00000138674",4,"q21.22","SEC31A","4q"
"1147","ENSG00000147465",8,"p11.23","STAR","8p"
"1149","ENSG00000205837",2,"p25.2","LINC00487","2p"
"1152","ENSG00000133317",11,"q12.3","LGALS12","11q"
"1154","ENSG00000263724",18,"p11.31","DLGAP1-AS3","18p"
"1162","ENSG00000215788",1,"p36.31","TNFRSF25","1p"
"1169","ENSG00000170044",3,"q12.3","ZPLD1","3q"
"1170","ENSG00000167216",18,"q21.1","KATNAL2","18q"
"1171","ENSG00000090316",4,"p16.3","MAEA","4p"
"1174","ENSG00000154767",3,"p25.1","XPC","3p"
"1179","ENSG00000124193",20,"q13.11","SRSF6","20q"
"1182","ENSG00000067596",17,"q21.31","DHX8","17q"
"1184","ENSG00000175324",8,"p11.23","LSM1","8p"
"1185","ENSG00000183785",22,"q11.21","TUBA8","22q"
"1187","ENSG00000104321",8,"q21.11","TRPA1","8q"
"1190","ENSG00000225830",10,"q11.23","ERCC6","10q"
"1195","ENSG00000129691",8,"p11.23","ASH2L","8p"
"1197","ENSG00000108061",10,"q25.2","SHOC2","10q"
"1199","ENSG00000106133",7,"q11.23","NSUN5P2","7q"
"1204","ENSG00000215193",22,"q11.21","PEX26","22q"
"1223","ENSG00000149043",11,"p15.5","SYT8","11p"
"1226","ENSG00000146707",7,"q11.23","POMZP3","7q"
"1228","ENSG00000180053",8,"p21.2","NKX2-6","8p"
"1237","ENSG00000124217",20,"q13.13","MOCS3","20q"
"1240","ENSG00000196313",7,"q11.23","POM121","7q"
"1241","ENSG00000239789",7,"p11.2","MRPS17","7p"
"1247","ENSG00000159167",8,"p21.2","STC1","8p"
"1249","ENSG00000084234",11,"q24.3","APLP2","11q"
"1252","ENSG00000214595",2,"p16.1","EML6","2p"
"1253","ENSG00000170876",3,"p25.1","TMEM43","3p"
"1256","ENSG00000122705",9,"p13.3","CLTA","9p"
"1257","ENSG00000178860",8,"q13.3","MSC","8q"
"1260","ENSG00000119771",2,"p24.1","KLHL29","2p"
"1263","ENSG00000178665",7,"p11.2","ZNF713","7p"
"1273","ENSG00000065268",19,"p13.3","WDR18","19p"
"1274","ENSG00000140368",15,"q24.3","PSTPIP1","15q"
"1276","ENSG00000136859",9,"q33.3","ANGPTL2","9q"
"1277","ENSG00000108474",17,"p11.2","PIGL","17p"
"1278","ENSG00000234118",10,"q25.2","RPL13AP6","10q"
"1285","ENSG00000073331",4,"q25","ALPK1","4q"
"1288","ENSG00000108309",17,"q21.31","RUNDC3A","17q"
"1295","ENSG00000100246",22,"q13.1","DNAL4","22q"
"1298","ENSG00000100360",22,"q12.3","IFT27","22q"
"1299","ENSG00000151092",3,"p24.2","NGLY1","3p"
"1303","ENSG00000100242",22,"q13.1","SUN2","22q"
"1306","ENSG00000103197",16,"p13.3","TSC2","16p"
"1313","ENSG00000178591",20,"p13","DEFB125","20p"
"1319","ENSG00000111640",12,"p13.31","GAPDH","12p"
"1327","ENSG00000167792",11,"q13.2","NDUFV1","11q"
"1332","ENSG00000175354",18,"p11.21","PTPN2","18p"
"1339","ENSG00000026559",20,"q13.13","KCNG1","20q"
"1347","ENSG00000124786",6,"p24.3","SLC35B3","6p"
"1352","ENSG00000153944",17,"q22","MSI2","17q"
"1354","ENSG00000102871",16,"q22.1","TRADD","16q"
"1359","ENSG00000170860",3,"p25.1","LSM3","3p"
"1360","ENSG00000108001",10,"q26.3","EBF3","10q"
"1361","ENSG00000156413",19,"p13.3","FUT6","19p"
"1364","ENSG00000144659",3,"p22.1","SLC25A38","3p"
"1367","ENSG00000141027",17,"p11.2","NCOR1","17p"
"1368","ENSG00000135722",16,"q22.1","FBXL8","16q"
"1372","ENSG00000109466",4,"q32.3","KLHL2","4q"
"1374","ENSG00000237232",21,"q22.3","ZNF295-AS1","21q"
"1376","ENSG00000188877",8,"p11.1","POTEA","8p"
"1377","ENSG00000165626",10,"p13","BEND7","10p"
"1379","ENSG00000145365",4,"q25","TIFA","4q"
"1382","ENSG00000163170",2,"p13.1","BOLA3","2p"
"1385","ENSG00000150893",13,"q13.3","FREM2","13q"
"1387","ENSG00000059145",16,"p13.3","UNKL","16p"
"1391","ENSG00000125900",20,"p13","SIRPD","20p"
"1392","ENSG00000026025",10,"p13","VIM","10p"
"1394","ENSG00000122678",7,"p13","POLM","7p"
"1396","ENSG00000179674",3,"q25.33","ARL14","3q"
"1399","ENSG00000171124",19,"p13.3","FUT3","19p"
"1401","ENSG00000101307",20,"p13","SIRPB1","20p"
"1405","ENSG00000204010",10,"q23.31","IFIT1B","10q"
"1412","ENSG00000107798",10,"q23.31","LIPA","10q"
"1416","ENSG00000188690",10,"q26.2","UROS","10q"
"1418","ENSG00000147654",8,"q23.2","EBAG9","8q"
"1419","ENSG00000163590",3,"q25.33","PPM1L","3q"
"1423","ENSG00000129250",17,"p13.2","KIF1C","17p"
"1425","ENSG00000205572",5,"q13.2","SERF1B","5q"
"1428","ENSG00000175595",16,"p13.12","ERCC4","16p"
"1429","ENSG00000120742",3,"q25.1","SERP1","3q"
"1437","ENSG00000197563",18,"q21.33","PIGN","18q"
"1439","ENSG00000125788",20,"p13","DEFB126","20p"
"1445","ENSG00000198155",4,"p16.3","ZNF876P","4p"
"1447","ENSG00000139826",13,"q33.3","ABHD13","13q"
"1449","ENSG00000166831",15,"q22.31","RBPMS2","15q"
"1456","ENSG00000165271",9,"p13.3","NOL6","9p"
"1459","ENSG00000236969",2,"p11.2","GGT8P","2p"
"1461","ENSG00000172000",19,"p13.3","ZNF556","19p"
"1462","ENSG00000229894",4,"q32.3","GK3P","4q"
"1463","ENSG00000170088",4,"q32.3","TMEM192","4q"
"1464","ENSG00000105926",7,"p15.3","MPP6","7p"
"1466","ENSG00000173991",17,"q12","TCAP","17q"
"1467","ENSG00000101222",20,"p13","SPEF1","20p"
"1468","ENSG00000103042",16,"q21","SLC38A7","16q"
"1471","ENSG00000147262",23,"q26.1","GPR119","23q"
"1472","ENSG00000169967",2,"q14.3","MAP3K2","2q"
"1473","ENSG00000176302",11,"q23.3","FOXR1","11q"
"1477","ENSG00000183260",20,"q13.33","ABHD16B","20q"
"1478","ENSG00000163235",2,"p13.3","TGFA","2p"
"1481","ENSG00000166189",10,"q24.32","HPS6","10q"
"1482","ENSG00000197345",11,"q13.3","MRPL21","11q"
"1483","ENSG00000151093",3,"p24.2","OXSM","3p"
"1487","ENSG00000163602",3,"p13","RYBP","3p"
"1502","ENSG00000145431",4,"q32.1","PDGFC","4q"
"1504","ENSG00000147099",23,"q13.1","HDAC8","23q"
"1514","ENSG00000113387",5,"p13.3","SUB1","5p"
"1518","ENSG00000274583",9,"q12","FAM74A4","9q"
"1521","ENSG00000144230",2,"q14.3","GPR17","2q"
"1524","ENSG00000183666",5,"p14.3","GUSBP1","5p"
"1525","ENSG00000205269",6,"p24.2","TMEM170B","6p"
"1526","ENSG00000198885",2,"q11.2","ITPRIPL1","2q"
"1527","ENSG00000001630",7,"q21.2","CYP51A1","7q"
"1534","ENSG00000163558",3,"q26.2","PRKCI","3q"
"1541","ENSG00000106049",7,"p15.2","HIBADH","7p"
"1544","ENSG00000187123",2,"q23.2","LYPD6","2q"
"1548","ENSG00000197763",3,"q21.3","TXNRD3","3q"
"1549","ENSG00000134072",3,"p25.3","CAMK1","3p"
"1552","ENSG00000185745",10,"q23.31","IFIT1","10q"
"1553","ENSG00000263006",18,"p11.32","ROCK1P1","18p"
"1557","ENSG00000088782",20,"p13","DEFB127","20p"
"1559","ENSG00000240720",7,"q21.2","LRRD1","7q"
"1561","ENSG00000160219",23,"q28","GAB3","23q"
"1562","ENSG00000119917",10,"q23.31","IFIT3","10q"
"1576","ENSG00000186777",4,"p16.3","ZNF732","4p"
"1579","ENSG00000172016",2,"p12","REG3A","2p"
